PLANT_NAME,PLANT_DESIGN_CAPACITY_MWE,PLANT_COUNTRY,PLANT_STATE,TYPE,PLANT_OVERALL_RATING,PLANT_LATITUDE,PLANT_LONGITUDE,geopoint,PLANT_TYPE_OF_PLANT,PLANT_USED_FOR,PLANT_URL,PLANT_LOCATION,TOPIC,,TYPE_URL
Maasstroom CCGT Power Plant Netherlands,428,Netherlands,Zuid-Holland,GAS,Environmentally Responsible,51.8901,4.352,"51.8901, 4.352",Combined Cycle Gas Turbine,,http://www.globalenergyobservatory.org/geoid/44512,"Vondelingenplaat, Rotterdam, Zuid-Holland, Netherlands",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
ENEL Las Brisas Thermal Power Plant Nicaragua,65,Nicaragua,Managua,GAS,Environmentally Responsible,12.1581,-86.3107,"12.1581, -86.3107",Open Cycle Gas Turbine,Peaking Load and Backup,http://www.globalenergyobservatory.org/geoid/43594,"Las Brisas, Martinez subdivision in Western part of Managua City, Nicaragua",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Rusal Alscon OCGT Power Plant Nigeria,534,Nigeria,Akwa Ibom,GAS,Environmentally Responsible,4.5687,7.57359,"4.5687, 7.57359",Open Cycle Gas Turbine,Base Load,http://www.globalenergyobservatory.org/geoid/42554,"Ikot Abasi, Akwa Ibom, Nigeria",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Delta-Ughelli II OCGT Power Plant Nigeria,143,Nigeria,Delta,GAS,Environmentally Responsible,5.54162,5.916,"5.54162, 5.916",Open Cycle Gas Turbine,Base Load,http://www.globalenergyobservatory.org/geoid/42568,"Ughelli, Delta, Nigeria",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Olorunsogo OCGT Power Station Nigeria,500,Nigeria,Ogun,GAS,Environmentally Responsible,6.8976,3.2071,"6.8976, 3.2071",Open Cycle Gas Turbine,Base Load,http://www.globalenergyobservatory.org/geoid/42564,Papalanto,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Omotosho I and II Power Station Nigeria,785,Nigeria,Ondo,GAS,Environmentally Responsible,6.7357,4.7106,"6.7357, 4.7106",Open Cycle Gas Turbine,Base Load,http://www.globalenergyobservatory.org/geoid/42565,"Ondo, Nigeria",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Manah OCGT Power Plant Oman,267,Oman,Ad Dakhliyah,GAS,Environmentally Responsible,22.70679946,57.57799387,"22.7067994598, 57.5779938698",Open Cycle Gas Turbine,Base Load,http://www.globalenergyobservatory.org/geoid/4154,"Manah, Ad Dakhiliyah, Oman",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
AES Barka I CCGT Power and Desalination Plant Oman,427,Oman,Al Batinah,GAS,Environmentally Responsible,23.70736021,57.98454702,"23.707360209, 57.984547019",Combined Cycle Gas Turbine,Base Load,http://www.globalenergyobservatory.org/geoid/1989,"Barka, Al Batinah, Oman",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Sohar (Sohal) Aluminium CCGT Power Plant Oman,1000,Oman,Al Batinah,GAS,Environmentally Responsible,24.46676,56.63718,"24.46676, 56.63718",Combined Cycle Gas Turbine,Base Load,http://www.globalenergyobservatory.org/geoid/5445,"Sohar Industrial Area, Batinah, Oman",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Al Kamil OCGT Power Plant Oman,276,Oman,Ash Sharqiyah,GAS,Environmentally Responsible,22.39031712,59.06954885,"22.3903171177, 59.0695488453",Open Cycle Gas Turbine,Base Load,http://www.globalenergyobservatory.org/geoid/2016,"Al Kamir, Ash Sharqiyah, Oman",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Ghubrah IV OCGT Power and Desalination Plant Oman,190,Oman,Muscat,GAS,Environmentally Responsible,23.60314109,58.41644168,"23.6031410871, 58.416441679",Open Cycle Gas Turbine,Base Load,http://www.globalenergyobservatory.org/geoid/3313,"Gulf Coast, 8.5 km W of Qurm, Oman",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
KESC Korangi Thermal Power Station (KTPS) Pakistan,382,Pakistan,Sindh,GAS,Environmentally Responsible,24.7857,67.1386,"24.7857, 67.1386",Sub-critical Thermal,,http://www.globalenergyobservatory.org/geoid/3891,"Ibrahim-Haidri Goth, Bin Qasim Town, District Malir, Karachi, Sindh, Pakistan",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
TNB Liberty Power CCGT Pakistan,235,Pakistan,Sindh,GAS,Environmentally Responsible,28.03183,69.63572,"28.03183, 69.63572",Combined Cycle Gas Turbine,,http://www.globalenergyobservatory.org/geoid/5735,"Daharki, District Ghotki, Sindh, Pakistan",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
KESC SITE Gas Power Plant Pakistan,90,Pakistan,Sindh,GAS,Environmentally Responsible,24.913,66.9902,"24.913, 66.9902",Gas Engines,,http://www.globalenergyobservatory.org/geoid/41116,"Sindh Industrial Trading Estate (SITE), Karachi, Pakistan",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
KESC Korangi Industrial Area Gas Power Plant Pakistan,35,Pakistan,Sindh,GAS,Environmentally Responsible,24.8483,67.1453,"24.8483, 67.1453",Gas Engines,,http://www.globalenergyobservatory.org/geoid/41117,"Karachi Industrial Area, Karachi, Pakistan",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
ChilcaUno CCGT Power Plant Peru,852,Peru,Lima [Province],GAS,Environmentally Responsible,-12.5026,-76.729,"-12.5026, -76.729",Combined Cycle Gas Turbine,,http://www.globalenergyobservatory.org/geoid/44540,"Chilca, Canete, Peru",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
Tunes OCGT Power Plant Portugal,197,Portugal,Faro,GAS,Environmentally Responsible,37.1642,-8.2647,"37.1642, -8.2647",Open Cycle Gas Turbine,,http://www.globalenergyobservatory.org/geoid/43563,"Tunes, Algarve, Faro Portugal",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
,263,Puerto Rico,Penuelas,GAS,Environmentally Responsible,17.97912587,-66.75548842,"17.9791258725, -66.7554884216",Combined Cycle Gas Turbine,Base/Intermediate Load,http://www.globalenergyobservatory.org/geoid/46322,"Guayanilla Bay, Penuelas, Puerto Rico",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Gas
