PLANT_NAME,PLANT_DESIGN_CAPACITY_MWE,PLANT_COUNTRY,PLANT_STATE,TYPE,PLANT_OVERALL_RATING,PLANT_LATITUDE,PLANT_LONGITUDE,geopoint,PLANT_TYPE_OF_PLANT,PLANT_USED_FOR,PLANT_URL,PLANT_LOCATION,TOPIC,,TYPE_URL
Pong Dam Hydroelectric Power Station India,396,India,Himachal Pradesh,HYDRO,Environmentally Responsible,31.96667,75.9469,"31.96667, 75.9469",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/4841,"Talwara Township, Kangra District, Himachal Pradesh, India",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Chamera III Hydroelectric Power Plant India,232,India,Himachal Pradesh,HYDRO,Environmentally Responsible,32.4733,76.44,"32.4733, 76.44",Dam with run-of-river generation,Intermediate/Peak Load,http://www.globalenergyobservatory.org/geoid/43459,"Dharwala, Chamba, Himachal Pradesh, India",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Malana II Hydroelectric Power Plant India,100,India,Himachal Pradesh,HYDRO,Environmentally Responsible,32.0472,77.2595,"32.0472, 77.2595",Dam with run-of-river generation,,http://www.globalenergyobservatory.org/geoid/44637,"Malana, Himachal Pradesh, India",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Parbati III Hydroelectric Power Plant India,520,India,Himachal Pradesh,HYDRO,Environmentally Responsible,31.7398,77.2576,"31.7398, 77.2576",Dam with run-of-river generation,Intermediate Load,http://www.globalenergyobservatory.org/geoid/45272,"Sainj, Kullu, Himachal Pradesh, India",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Dulhasti Hydroelectric Power Plant India,390,India,Jammu and Kashmir,HYDRO,Environmentally Responsible,33.3691,75.7985,"33.3691, 75.7985",Dam with run-of-river generation,,http://www.globalenergyobservatory.org/geoid/2855,"Dam near Village Dal, Powerhouse near Dasti, Disrict Doda, Jammu and Kashmir, India",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Linganamakki Hydroelectric Power Plant India,55,India,Karnataka,HYDRO,Environmentally Responsible,14.17043,74.83884,"14.17043, 74.83884",Dam on river with reservoir,Base/Intermediate Load,http://www.globalenergyobservatory.org/geoid/3741,"Karnataka, India",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Mani Dam Hydroelectric Power Plant India,9,India,Karnataka,HYDRO,Environmentally Responsible,13.6763,75.04622,"13.6763, 75.04622",Dam with run-of-river generation,,http://www.globalenergyobservatory.org/geoid/4163,"At the foot of Mani Dam, Karnataka, India",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Tungabhadra Dam and Hampi Hydroelectric Power Project India,72,India,Karnataka,HYDRO,Environmentally Responsible,15.2615,76.3379,"15.2615, 76.3379",Dam on river with reservoir,Intermediate/Peak Load,http://www.globalenergyobservatory.org/geoid/5805,"Near Hosapete,  Karnataka, India",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Ghatprabha Hydroelectric Power Plant India,32,India,Karnataka,HYDRO,Environmentally Responsible,16.1424,74.6447,"16.1424, 74.6447",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/44632,"Hidkal, Karnataka, India",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Idukki Hydroelectric Power Plant India,780,India,Kerala,HYDRO,Environmentally Responsible,9.8503,77.0555,"9.8503, 77.0555",Dam on river with reservoir,Intermediate/Peak Load,http://www.globalenergyobservatory.org/geoid/3629,"Idukki, Kerala, India",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Neriamangalam (Panakutty) Hydroelectric Power Plant India,77.65,India,Kerala,HYDRO,Environmentally Responsible,9.9533,76.9792,"9.9533, 76.9792",Dam with run-of-river generation,Peaking Load,http://www.globalenergyobservatory.org/geoid/41894,"8km SE of Adimaly, Munnar, Kerala, India",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Panniyar Hydroelectric Power Plant India,30,India,Kerala,HYDRO,Environmentally Responsible,9.9731,77.0281,"9.9731, 77.0281",Dam on river with reservoir,Base Load,http://www.globalenergyobservatory.org/geoid/43257,"Munnar, Idukki, Kerala, India",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Bargi Dam  Hydroelectric Power Plant India,90,India,Madhya Pradesh,HYDRO,Environmentally Responsible,22.94166732,79.92500028,"22.9416673165, 79.9250002763",,,http://www.globalenergyobservatory.org/geoid/2246,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Gandhi Sagar Hydro Power Plant India,115,India,Madhya Pradesh,HYDRO,Environmentally Responsible,24.69969413,75.55290643,"24.6996941278, 75.5529064272",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/3266,"Gandhi Nagar, Mandsaur District, Madhya Pradesh, India",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Umiam III Hydroelectric Power Plant India,60,India,Meghalaya,HYDRO,Environmentally Responsible,25.7848,91.7893,"25.7848, 91.7893",Dam on river with reservoir,Seasonal: Base,http://www.globalenergyobservatory.org/geoid/45310,"Kyrdemkulai, Meghalaya, India",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Balimela Hydroelectric Power Plant India,510,India,Orissa,HYDRO,Environmentally Responsible,18.1396,82.1221,"18.1396, 82.1221",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/2232,"35 km from Malkangiri, Orissa, India",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Rengali Hydroelectric Power Plant India,250,India,Orissa,HYDRO,Environmentally Responsible,21.2759,85.0355,"21.2759, 85.0355",Dam on river with reservoir,Intermediate/Peak Load,http://www.globalenergyobservatory.org/geoid/5063,"Village Rengali, Angul District, Orissa, India",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Teesta V Hydroelectric Power Station India,510,India,Sikkim,HYDRO,Environmentally Responsible,27.25172,88.46044,"27.25172, 88.46044",Dam with run-of-river generation,,http://www.globalenergyobservatory.org/geoid/5677,"Singtam, Sikkim, India",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Kundah PH III Hydroelectric Power Plant India,180,India,Tamil Nadu,HYDRO,Environmentally Responsible,11.2428,76.7696,"11.2428, 76.7696",Water discharged from another project,,http://www.globalenergyobservatory.org/geoid/41247,"Piloor Lake, Tamil Nadu, India",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Kundah PH V Hydroelectric Power Plant India,40,India,Tamil Nadu,HYDRO,Environmentally Responsible,11.3044,76.5759,"11.3044, 76.5759",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/41249,"33km SW of Ooty, Tamil Nadu",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Kodayar II Hydroelectric Power Plant India,40,India,Tamil Nadu,HYDRO,Environmentally Responsible,8.5032,77.3122,"8.5032, 77.3122",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/41257,"Kanyakumari District, Tamil Nadu, India",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Aliyar Hydroelectric Power Plant India,60,India,Tamil Nadu,HYDRO,Environmentally Responsible,10.4547,77.0078,"10.4547, 77.0078",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/41259,"Aliyar, Coimbatore, Tamil Nadu, India",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Papanasam Hydroelectric Power Plant India,28,India,Tamil Nadu,HYDRO,Environmentally Responsible,8.70654,77.36267,"8.70654, 77.36267",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/41261,"Papanasam, Tirunelveli District, Tamil Nadu, India",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Servalar Hydroelectric Power Plant India,20,India,Tamil Nadu,HYDRO,Environmentally Responsible,8.6895,77.3048,"8.6895, 77.3048",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/41263,"Myndanthurai Tiger Reserve, Tirunelveli District, Tamil Nadu, India",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Maneri Bhali II hydoelectric Power Project India,304,India,Uttarakhand,HYDRO,Environmentally Responsible,30.7294,78.4238,"30.7294, 78.4238",Dam with run-of-river generation,Base/Intermediate Load,http://www.globalenergyobservatory.org/geoid/41877,"Uttarkashi, Uttarakhand, India",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Jaldhaka Hydroelectric Power Project India,27,India,West Bengal,HYDRO,Environmentally Responsible,27.02966,88.8747,"27.02966, 88.8747",Dam with run-of-river generation,Intermediate Load,http://www.globalenergyobservatory.org/geoid/41881,"Jhalong, Darjeeling, West Bengal, India",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Teesta Low Dam-IV Hydroelectric Power Plant India,160,India,West Bengal,HYDRO,Environmentally Responsible,26.9273,88.4553,"26.9273, 88.4553",Dam with run-of-river generation,Intermediate/Peak Load,http://www.globalenergyobservatory.org/geoid/44158,"Kalijhora, Darjeeling, West Bengal, India",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Karkhe Hydroelectric Power Plant Iran,400,Islamic Republic of Iran,Khuzestan,HYDRO,Environmentally Responsible,32.4884,48.13175,"32.4884, 48.13175",Dam on river with reservoir,Seasonal: Base,http://www.globalenergyobservatory.org/geoid/40419,"20km northwest of Andimeshk, Khuzestan, Iran",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Latyan Dam Hydroelectric Power Project Iran,45,Islamic Republic of Iran,Tehran,HYDRO,Environmentally Responsible,35.7898,51.6785,"35.7898, 51.6785",Dam on river with reservoir,,http://www.globalenergyobservatory.org/geoid/41409,"25 km NE of Tehran, Iran",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Kalan Hydroelectric Power Plant Iran,115.5,Islamic Republic of Iran,Tehran,HYDRO,Environmentally Responsible,35.807,51.7914,"35.807, 51.7914",Water discharged from another project,,http://www.globalenergyobservatory.org/geoid/41411,"Kalan, Tehran, Iran",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Edolo Pumped Storage Hydroelectric Power Plant Italy,1000,Italy,Brescia,HYDRO,Environmentally Responsible,46.171,10.348,"46.171, 10.348",Pumped Storage Power Plant,Peaking Load,http://www.globalenergyobservatory.org/geoid/43971,"Edolo, Brescia Province, Lombardy  region, Italy",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Entracque Chiotas-Piastra Pumped Storage Power Plant Italy,1184,Italy,Cuneo,HYDRO,Environmentally Responsible,44.2256,7.38417,"44.2256, 7.38417",Pumped Storage Power Plant,,http://www.globalenergyobservatory.org/geoid/45432,"Entracque, Cuneo, Italy",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Shin Toyone Pumped Storage Power Plant Japan,1125,Japan,Aichi,HYDRO,Environmentally Responsible,35.1258,137.7606,"35.1258, 137.7606",Pumped Storage Power Plant,Peaking Load and Backup,http://www.globalenergyobservatory.org/geoid/45039,"Toyone, Aichi Prefecture, Japan",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Nagano Pumped Storage Power Plant Japan,220,Japan,Fukui,HYDRO,Environmentally Responsible,35.88944,136.688056,"35.88944, 136.688056",Pumped Storage Power Plant,Peaking Load and Backup,http://www.globalenergyobservatory.org/geoid/45124,"Fukui Prefecture, Japan",POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Hydro
Rodsand II Wind Farm Denmark,207,Denmark,Zealand,WIND,Environmentally Responsible,54.5228,11.5447,"54.5228, 11.5447",,,http://www.globalenergyobservatory.org/geoid/44229,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Viru-Nigula Wind Farm Estonia,24,Estonia,Lne-Viru,WIND,Environmentally Responsible,59.4427,26.7654,"59.4427, 26.7654",,,http://www.globalenergyobservatory.org/geoid/42120,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Carrire Saint Martin Wind Farm France,30,France,Aisne,WIND,Environmentally Responsible,49.9,3.5,"49.9, 3.5",,,http://www.globalenergyobservatory.org/geoid/39827,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Hautevesnes Wind Farm France,12,France,Aisne,WIND,Environmentally Responsible,49.11,3.24,"49.11, 3.24",,,http://www.globalenergyobservatory.org/geoid/39828,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Saint Clment Wind Farm France,1.2,France,Ardache,WIND,Environmentally Responsible,44.95,4.26,"44.95, 4.26",,,http://www.globalenergyobservatory.org/geoid/39840,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
La Plaine Auboise Wind Farm France,41.4,France,Aube,WIND,Environmentally Responsible,48.48,4.03,"48.48, 4.03",,,http://www.globalenergyobservatory.org/geoid/39846,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Lvigny Wind Farm France,10,France,Aube,WIND,Environmentally Responsible,48.3,4.71,"48.3, 4.71",,,http://www.globalenergyobservatory.org/geoid/39847,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Escales I Wind Farm France,7.5,France,Aube,WIND,Environmentally Responsible,43.21,2.72,"43.21, 2.72",,,http://www.globalenergyobservatory.org/geoid/39851,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Fitou Wind Farm France,22.1,France,Aube,WIND,Environmentally Responsible,42.9,2.96,"42.9, 2.96",,,http://www.globalenergyobservatory.org/geoid/39852,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Plan du Pal Wind Farm France,3.2,France,Aube,WIND,Environmentally Responsible,43.03,2.89,"43.03, 2.89",,,http://www.globalenergyobservatory.org/geoid/39857,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Roquetaillade Wind Farm France,18.48,France,Aube,WIND,Environmentally Responsible,43.01,2.23,"43.01, 2.23",,,http://www.globalenergyobservatory.org/geoid/39858,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Tuchan Wind Farm France,9,France,Aube,WIND,Environmentally Responsible,42.915,2.677,"42.915, 2.677",,,http://www.globalenergyobservatory.org/geoid/39860,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Villesque Wind Farm France,55.2,France,Aube,WIND,Environmentally Responsible,43.02,2.87,"43.02, 2.87",,,http://www.globalenergyobservatory.org/geoid/39861,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Salles-Curan Wind Farm France,87,France,Aveyron,WIND,Environmentally Responsible,44.19512836,2.777481079,"44.1951283586, 2.7774810791",,,http://www.globalenergyobservatory.org/geoid/5229,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Port Saint Louis du Rhne Wind Farm France,21.25,France,Bouches-du-Rhone,WIND,Environmentally Responsible,43.4365,4.7745,"43.4365, 4.7745",,,http://www.globalenergyobservatory.org/geoid/39872,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Chicheboville Wind Farm France,12,France,Calvados,WIND,Environmentally Responsible,49.1,-0.23,"49.1, -0.23",,,http://www.globalenergyobservatory.org/geoid/39874,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Conteville Wind Farm France,4,France,Calvados,WIND,Environmentally Responsible,49.1,-0.23,"49.1, -0.23",,,http://www.globalenergyobservatory.org/geoid/39875,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Garcelles Wind Farm France,16,France,Calvados,WIND,Environmentally Responsible,49.09,-0.26,"49.09, -0.26",,,http://www.globalenergyobservatory.org/geoid/39878,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Pr Wind Farm France,8,France,Charente-Maritime,WIND,Environmentally Responsible,46.09,-0.83,"46.09, -0.83",,,http://www.globalenergyobservatory.org/geoid/39889,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Corlay Wind Farm France,4.25,France,Cotes-d'Armor,WIND,Environmentally Responsible,48.3167,-3.05,"48.3167, -3.05",,,http://www.globalenergyobservatory.org/geoid/39895,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Kerlan Wind Farm France,5.6,France,Cotes-d'Armor,WIND,Environmentally Responsible,48.38,-3.3,"48.38, -3.3",,,http://www.globalenergyobservatory.org/geoid/39898,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Trbry Wind Farm France,9,France,Cotes-d'Armor,WIND,Environmentally Responsible,48.35,-2.55,"48.35, -2.55",,,http://www.globalenergyobservatory.org/geoid/39908,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Roussas Wind Farm France,21,France,Drame,WIND,Environmentally Responsible,44.46,4.79,"44.46, 4.79",,,http://www.globalenergyobservatory.org/geoid/39916,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Bois de lArche Wind Farm France,11.5,France,Eure-et-Loir,WIND,Environmentally Responsible,48.2899,1.6437,"48.2899, 1.6437",,,http://www.globalenergyobservatory.org/geoid/39918,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Bonneval Wind Farm France,12,France,Eure-et-Loir,WIND,Environmentally Responsible,48.1994,1.4185,"48.1994, 1.4185",,,http://www.globalenergyobservatory.org/geoid/39919,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Louville Wind Farm France,36,France,Eure-et-Loir,WIND,Environmentally Responsible,48.3323,1.7831,"48.3323, 1.7831",,,http://www.globalenergyobservatory.org/geoid/39928,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Coat Conval Wind Farm France,5.4,France,Finistere,WIND,Environmentally Responsible,48.54,-3.88,"48.54, -3.88",,,http://www.globalenergyobservatory.org/geoid/39931,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Dinault Wind Farm France,1.2,France,Finistere,WIND,Environmentally Responsible,48.1996,-4.1269,"48.1996, -4.1269",,,http://www.globalenergyobservatory.org/geoid/39933,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Dirinon Wind Farm France,1.7,France,Finistere,WIND,Environmentally Responsible,48.39,-4.26,"48.39, -4.26",,,http://www.globalenergyobservatory.org/geoid/39934,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Plouy Wind Farm France,3,France,Finistere,WIND,Environmentally Responsible,48.323,-3.7577,"48.323, -3.7577",,,http://www.globalenergyobservatory.org/geoid/39947,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Avignonet Lauragrais Wind Farm France,12,France,Haute-Garonne,WIND,Environmentally Responsible,43.37,1.8,"43.37, 1.8",,,http://www.globalenergyobservatory.org/geoid/39952,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Les Barthes Wind Farm France,16,France,Haute-Loire,WIND,Environmentally Responsible,44.93,4.07,"44.93, 4.07",,,http://www.globalenergyobservatory.org/geoid/39954,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Oupia Wind Farm France,8.1,France,Herault,WIND,Environmentally Responsible,43.295,2.79,"43.295, 2.79",,,http://www.globalenergyobservatory.org/geoid/39961,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Riols Wind Farm France,3.6,France,Herault,WIND,Environmentally Responsible,43.48,2.81,"43.48, 2.81",,,http://www.globalenergyobservatory.org/geoid/39962,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
La Nourais Wind Farm France,10,France,Ille-et-Vilaine,WIND,Environmentally Responsible,47.8,-1.74,"47.8, -1.74",,,http://www.globalenergyobservatory.org/geoid/39964,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Mardeaux Wind Farm France,11.5,France,Loir-et-Cher,WIND,Environmentally Responsible,47.92,1.35,"47.92, 1.35",,,http://www.globalenergyobservatory.org/geoid/39977,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Les Crtes Wind Farm France,10,France,Maine-et-Loire,WIND,Environmentally Responsible,47.14,-0.68,"47.14, -0.68",,,http://www.globalenergyobservatory.org/geoid/39983,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Clitourps Wind Farm France,3.3,France,Manche,WIND,Environmentally Responsible,49.65,-1.37,"49.65, -1.37",,,http://www.globalenergyobservatory.org/geoid/39984,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Les Vents de Cemon Wind Farm France,27.5,France,Marne,WIND,Environmentally Responsible,48.84212455,4.354362488,"48.8421245488, 4.35436248779",,,http://www.globalenergyobservatory.org/geoid/2610,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Argonne Wind Farm France,16.15,France,Marne,WIND,Environmentally Responsible,48.97,4.8,"48.97, 4.8",,,http://www.globalenergyobservatory.org/geoid/39988,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Clamanges Villeseneux Wind Farm France,10.02,France,Marne,WIND,Environmentally Responsible,48.85,4.1,"48.85, 4.1",,,http://www.globalenergyobservatory.org/geoid/39989,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Ctes de Champagne Wind Farm France,19.55,France,Marne,WIND,Environmentally Responsible,48.82,4.64,"48.82, 4.64",,,http://www.globalenergyobservatory.org/geoid/39990,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Les Malandaux Wind Farm France,4,France,Marne,WIND,Environmentally Responsible,48.86,4.52,"48.86, 4.52",,,http://www.globalenergyobservatory.org/geoid/39992,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Vanault le Chtel Wind Farm France,8.5,France,Marne,WIND,Environmentally Responsible,48.87,4.73,"48.87, 4.73",,,http://www.globalenergyobservatory.org/geoid/39995,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Osches Wind Farm France,26,France,Meuse,WIND,Environmentally Responsible,49.05,5.25,"49.05, 5.25",,,http://www.globalenergyobservatory.org/geoid/40008,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Rumont et Erize Saint Dizier Wind Farm France,11.5,France,Meuse,WIND,Environmentally Responsible,48.825,5.2667,"48.825, 5.2667",,,http://www.globalenergyobservatory.org/geoid/40011,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Gueltas Wind Farm France,9,France,Morbihan,WIND,Environmentally Responsible,48.0837,-2.8191,"48.0837, -2.8191",,,http://www.globalenergyobservatory.org/geoid/40019,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Muzillac Wind Farm France,10.02,France,Morbihan,WIND,Environmentally Responsible,47.5203,-2.4523,"47.5203, -2.4523",,,http://www.globalenergyobservatory.org/geoid/40025,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Silfiac : Bodervedan Wind Farm France,3.2,France,Morbihan,WIND,Environmentally Responsible,48.15,-3.16,"48.15, -3.16",,,http://www.globalenergyobservatory.org/geoid/40028,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Amlcourt Wind Farm France,12.5,France,Moselle,WIND,Environmentally Responsible,48.85,6.47,"48.85, 6.47",,,http://www.globalenergyobservatory.org/geoid/40029,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Bambesch Wind Farm France,12,France,Moselle,WIND,Environmentally Responsible,49.1,6.58,"49.1, 6.58",,,http://www.globalenergyobservatory.org/geoid/40030,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Niedervisse Wind Farm France,12,France,Moselle,WIND,Environmentally Responsible,49.16,6.57,"49.16, 6.57",,,http://www.globalenergyobservatory.org/geoid/40037,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Plateau Picard Wind Farm France,23.5,France,Oise,WIND,Environmentally Responsible,49.63,2.29,"49.63, 2.29",,,http://www.globalenergyobservatory.org/geoid/40048,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Campagnes Wind Farm France,8.35,France,Pas-de-Calais,WIND,Environmentally Responsible,50.28,2.24,"50.28, 2.24",,,http://www.globalenergyobservatory.org/geoid/40050,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Valhuon I Wind Farm France,4,France,Pas-de-Calais,WIND,Environmentally Responsible,50.42,2.38,"50.42, 2.38",,,http://www.globalenergyobservatory.org/geoid/40059,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Saulzet Wind Farm France,14.4,France,Puy-de-Dome,WIND,Environmentally Responsible,45.43,3.04,"45.43, 3.04",,,http://www.globalenergyobservatory.org/geoid/2152,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Harpen Petits Caux Wind Farm France,9.2,France,Seine-Maritime,WIND,Environmentally Responsible,49.96,1.25,"49.96, 1.25",,,http://www.globalenergyobservatory.org/geoid/40069,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Saint Pierre Bnouville Wind Farm France,12.5,France,Seine-Maritime,WIND,Environmentally Responsible,49.7405,0.9712,"49.7405, 0.9712",,,http://www.globalenergyobservatory.org/geoid/40072,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
Ablaincourt Pressoir Wind Farm France,10,France,Somme,WIND,Environmentally Responsible,49.8433,2.8017,"49.8433, 2.8017",,,http://www.globalenergyobservatory.org/geoid/40074,,POWERPLANTS,,http://www.globalenergyobservatory.org/list.php?db=PowerPlants&type=Wind
